City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atuona,-9.8,-139.0333,80.94,77,4,11.36,PF,1616124211
Dingle,10.9995,122.6711,86.47,66,62,8.59,PH,1616124422
Vadsø,70.0744,29.7487,3.2,92,82,6.91,NO,1616124424
Provideniya,64.3833,-173.3,1.4,60,0,2.24,RU,1616124426
Bredasdorp,-34.5322,20.0403,60.8,94,100,6.91,ZA,1616124381
Saint-Joseph,-21.3667,55.6167,75.99,73,20,4.61,RE,1616124428
Caconda,-13.7333,15.0667,58.5,94,100,1.34,AO,1616124429
Cidreira,-30.1811,-50.2056,70.34,82,25,7.96,BR,1616124277
Hilo,19.7297,-155.09,68.0,88,90,8.05,US,1616124286
Hāveri,14.8,75.4,79.63,49,54,2.95,IN,1616124432
Mar del Plata,-38.0023,-57.5575,54.0,93,0,0.74,AR,1616124434
Avarua,-21.2078,-159.775,82.4,74,40,11.5,CK,1616124276
Yambio,4.5721,28.3955,66.78,83,53,2.24,SS,1616124436
Mahébourg,-20.4081,57.7,73.4,88,40,1.14,MU,1616124398
Balabac,7.9868,117.0645,85.37,65,100,3.69,PH,1616124438
Saint-Philippe,-21.3585,55.7679,75.99,73,20,4.61,RE,1616124439
Lompoc,34.6391,-120.4579,55.4,76,20,3.98,US,1616124400
Nikolskoye,59.7035,30.7861,21.0,85,0,4.47,RU,1616124418
Kapaa,22.0752,-159.319,71.01,68,90,19.57,US,1616124213
Hithadhoo,-0.6,73.0833,82.96,70,100,6.31,MV,1616124199
Lesozavodsk,45.4794,133.4244,31.91,64,100,4.05,RU,1616124444
Tasiilaq,65.6145,-37.6368,33.8,60,75,5.75,GL,1616124230
Östersund,63.1792,14.6357,15.8,67,61,4.61,SE,1616124446
Puerto Ayora,-0.7393,-90.3518,78.01,92,71,6.15,EC,1616124261
Prainha,-1.8,-53.48,74.26,83,100,1.12,BR,1616124448
Torbay,47.6666,-52.7314,37.0,87,90,24.16,CA,1616124449
Bluff,-46.6,168.3333,60.01,71,59,8.01,NZ,1616124272
Puerto del Rosario,28.5004,-13.8627,62.6,77,20,10.36,ES,1616124451
Saldanha,-33.0117,17.9442,61.93,89,100,12.73,ZA,1616124031
Deputatsky,69.3,139.9,-18.67,83,28,4.56,RU,1616124455
